"name","names","community","role","color","shape"
"1","ID1",2,"Administrator","color-based_on_community_assigned","man"
"25","ID8",1,"Administrator","color-based_on_community_assigned","man"
"2","ID10",1,"Administrator","color-based_on_community_assigned","man"
"13","ID20",2,"Administrator","color-based_on_community_assigned","man"
"12","ID2",3,"Faculty","color-based_on_community_assigned","woman"
"20","ID3",1,"Faculty","color-based_on_community_assigned","man"
"24","ID7",5,"Faculty","color-based_on_community_assigned","man"
"26","ID9",5,"Faculty","color-based_on_community_assigned","woman"
"3","ID11",2,"Faculty","color-based_on_community_assigned","woman"
"19","ID26",2,"Faculty","color-based_on_community_assigned","woman"
"4","ID12",5,"Faculty","color-based_on_community_assigned","woman"
"7","ID15",1,"Faculty","color-based_on_community_assigned","man"
"15","ID22",6,"Faculty","color-based_on_community_assigned","woman"
"17","ID24",2,"Faculty","color-based_on_community_assigned","man"
"18","ID25",2,"Faculty","color-based_on_community_assigned","woman"
"23","ID6",1,"Faculty_Admin","color-based_on_community_assigned","man"
"5","ID13",1,"Faculty_Admin","color-based_on_community_assigned","man"
"8","ID16",2,"Faculty_Admin","color-based_on_community_assigned","woman"
"16","ID23",1,"Faculty_Admin","color-based_on_community_assigned","man"
"21","ID4",6,"Student","color-based_on_community_assigned","woman"
"22","ID5",4,"Student","color-based_on_community_assigned","man"
"6","ID14",6,"Student","color-based_on_community_assigned","woman"
"9","ID17",2,"Student","color-based_on_community_assigned","woman"
"10","ID18",6,"Student","color-based_on_community_assigned","man"
"11","ID19",6,"Student","color-based_on_community_assigned","woman"
"14","ID21",6,"Student","color-based_on_community_assigned","woman"
