"time","from","to"
"1","Actor1","Actor2"
"2","Actor2","Actor1"
"3","Actor1","Actor2"
"4","Actor2","Actor1"
"5","Actor1","Actor2"
"6","Actor2","Actor1"
"7","Actor1","Actor2"
"8","Actor2","Actor1"
"9","Actor1","Actor3"
"10","Actor3","Actor1"
"11","Actor1","Actor3"
"12","Actor3","Actor1"
"13","Actor1","Actor1"
"14","Actor1","Actor3"
"15","Actor3","Actor4"
"16","Actor4","Actor2"
"17","Actor2","Actor3"
"18","Actor3","Actor2"
"19","Actor2","Actor5"
"20","Actor5","Actor2"
"21","Actor2","Actor2"
"22","Actor2","Actor3"
"23","Actor3","Actor2"
"24","Actor2","Actor6"
"25","Actor6","Actor2"
"26","Actor2","Actor6"
"27","Actor6","Actor2"
"28","Actor2","Actor3"
"29","Actor3","Actor2"
"30","Actor2","Actor5"
"31","Actor5","Actor2"
"32","Actor2","Actor3"
"33","Actor3","Actor2"
"34","Actor2","Actor3"
"35","Actor3","Actor2"
"36","Actor2","Actor7"
"37","Actor7","Actor2"
"38","Actor2","Actor7"
"39","Actor7","Actor2"
"40","Actor2","Actor7"
"41","Actor7","Actor2"
"42","Actor2","Actor1"
"43","Actor1","Actor2"
"44","Actor2","Actor3"
"45","Actor3","Actor7"
"46","Actor7","Actor3"
"47","Actor3","Actor7"
"48","Actor7","Actor8"
"49","Actor8","Actor4"
"50","Actor4","Actor8"
"51","Actor8","Actor7"
"52","Actor7","Actor8"
"53","Actor8","Actor3"
"54","Actor3","Actor8"
"55","Actor8","Actor3"
"56","Actor3","Actor7"
"57","Actor7","Actor8"
"58","Actor8","Actor9"
"59","Actor9","Actor6"
"60","Actor6","Actor10"
"61","Actor10","Actor6"
"62","Actor6","Actor10"
"63","Actor10","Actor6"
"64","Actor6","Actor10"
"65","Actor10","Actor7"
"66","Actor7","Actor6"
"67","Actor6","Actor3"
"68","Actor3","Actor10"
"69","Actor10","Actor6"
"70","Actor6","Actor1"
"71","Actor1","Actor5"
"72","Actor5","Actor3"
"73","Actor3","Actor7"
"74","Actor7","Actor3"
"75","Actor3","Actor7"
"76","Actor7","Actor5"
"77","Actor5","Actor6"
"78","Actor6","Actor7"
"79","Actor7","Actor8"
"80","Actor8","Actor3"
"81","Actor3","Actor6"
"82","Actor6","Actor11"
"83","Actor11","Actor1"
"84","Actor1","Actor5"
"85","Actor5","Actor1"
"86","Actor1","Actor11"
"87","Actor11","Actor1"
"88","Actor1","Actor3"
"89","Actor3","Actor5"
"90","Actor5","Actor8"
"91","Actor8","Actor7"
"92","Actor7","Actor1"
"93","Actor1","Actor7"
"94","Actor7","Actor11"
"95","Actor11","Actor7"
"96","Actor7","Actor11"
"97","Actor11","Actor7"
"98","Actor7","Actor4"
"99","Actor4","Actor7"
"100","Actor7","Actor4"
"101","Actor4","Actor11"
"102","Actor11","Actor7"
"103","Actor7","Actor1"
"104","Actor1","Actor11"
"105","Actor11","Actor7"
"106","Actor7","Actor1"
"107","Actor1","Actor7"
"108","Actor7","Actor4"
"109","Actor4","Actor4"
"110","Actor4","Actor6"
"111","Actor6","Actor4"
"112","Actor4","Actor1"
"113","Actor1","Actor5"
"114","Actor5","Actor4"
"115","Actor4","Actor6"
"116","Actor6","Actor4"
"117","Actor4","Actor6"
"118","Actor6","Actor5"
"119","Actor5","Actor11"
"120","Actor11","Actor7"
"121","Actor7","Actor4"
"122","Actor4","Actor6"
"123","Actor6","Actor7"
"124","Actor7","Actor8"
"125","Actor8","Actor7"
