"ID","Code","weight"
1,"Team effort",1
1,"Future faculty",3
2,"Why future?",2
1,"Problem identification",1
2,"Why future?",2
1,"Evidence-based",1
1,"Future faculty",3
2,"Why undergraduate?",1
1,"Future faculty",3
2,"Graduates too?",1
1,"Graduates too?",1
3,"Why undergraduate?",1
3,"Diversification",2
1,"Advising",1
3,"Science identity",1
3,"Advising",1
1,"Shared understanding",1
1,"Shared agenda",1
1,"Shared metrics",1
4,"Diversification",1
2,"Hispanic growth",1
2,"Domestic culture",1
2,"Some R1 are HSIs",1
2,"Fields & Disciplines",2
3,"Fields & Disciplines",2
2,"Evidence-based",2
2,"Diversification",1
5,"Fields & Disciplines",1
2,"Fields & Disciplines",2
2,"Team effort",3
2,"Evidence-based",2
2,"Team effort",3
3,"Team effort",2
6,"Team effort",1
6,"Lower pay",1
6,"Domestic culture",3
2,"Buy in",1
6,"Post-tenure review",1
2,"Team effort",3
6,"Willigness",1
2,"Willigness",1
2,"Ineffective strategies",1
3,"Ineffective strategies",1
6,"Mentoring",3
6,"Domestic culture",3
3,"Domestic culture",2
6,"Mentoring",3
7,"Diversification",2
7,"Ineffective strategies",1
6,"Peer effects",1
7,"Diversification",2
3,"Salary",1
7,"Financial literacy",1
3,"Domestic culture",2
3,"Lower pay",1
6,"Free STEM",1
6,"Mentoring",3
8,"Evidence-based",1
5,"Implicit bias",1
9,"Faculty focus",2
9,"Effective strategies",2
9,"Faculty focus",2
6,"CCs under-resourced",1
9,"Domestic culture",1
9,"Effective strategies",2
9,"Team effort",1
5,"Effective strategies",1
3,"Community building",1
3,"Equity",1
3,"Fields & Disciplines",2
3,"Team effort",2
3,"Self-assessment",1
3,"Effective strategies",2
3,"Diversification",2
6,"Self-assessment",1
3,"Effective strategies",2
6,"Evidence-based",3
10,"Diversification",1
10,"Inclusion",1
10,"Gender equity",4
6,"Evidence-based",3
7,"Federal guidelines",1
3,"Federal guidelines",1
5,"Federal guidelines",1
11,"Dissabilities",1
11,"Equity",1
1,"Undergrad to Grad",1
10,"Cultural awareness",1
10,"Implicit bias",1
11,"Advising",1
10,"Gender equity",4
10,"Gender equity",4
10,"Gender equity",4
6,"Ineffective strategies",1
6,"Effective strategies",2
6,"Evidence-based",3
6,"Effective strategies",2
11,"Future faculty",1
4,"Team effort",1
1,"Cultural awareness",1
11,"Diversification",1
6,"Domestic culture",3
4,"Changing practices",3
4,"Action group",1
5,"Action group",1
4,"Changing practices",3
1,"Changing practices",1
4,"Changing practices",3
4,"Multi-model",1
5,"Pred. analytics",1
5,"Intrusive advisement",1
10,"Intrusive advisement",1
10,"Pred. analytics",1
6,"Feedback",2
5,"Feedback",1
6,"Feedback",2
