Page & Line,Quote,Author_or_coder_name,Coding date,Sender,Receiver,Stand,Role,Tone
 Page # 1 - Starting line # 38,my argument is going to be in favor of patience and largely staying the course,redacted,29/08/2021,Michael,patience_remainig_present,Keep US forces,senior fellow Brookings,Firm
 Page # 1 - Starting line # 39,expected frustrations of the next few years of a peace process,redacted,29/08/2021,Michael,understand_frustrations,Keep US forces,senior fellow Brookings,Understanding
 Page # 2 - Starting line # 40,at best will take half a decade to produce any kind of power sharing agreement between the Taliban and the government of president Ashraf Ghani or his successor and I think we should actually be patient keep several thousand U.S. forces,redacted,29/08/2021,Michael,patience_remainig_present,Keep US forces,senior fellow Brookings,Firm
 Page # 2 - Starting line # 2,along with a couple thousand more NATO forces keep several billion dollars in aid flowing to Afghanistan throughout that period ,redacted,29/08/2021,Michael,keep_aid_flowing,Keep US forces,senior fellow Brookings,Firm
 Page # 2 - Starting line # 4,government does something so egregious that we can no longer partner with them or unless somehow peace is concluded more quickly than i expect i do not want to empower the Taliban to stonewall or run out the clock or make us feel that somehow they are all of a sudden good partners in peace when in fact i do not expect them to be very forthcoming in the peace process,redacted,29/08/2021,Michael,investment_not_empower_taliban,Keep US forces,senior fellow Brookings,Cautious
 Page # 2 - Starting line # 8,they over emphasize the strength of their own hand they believe that the Ghani government is a puppet of the west and would fall quickly without American and NATO support ,redacted,29/08/2021,Michael,Afghanistan_will_fall_without_US,Keep US forces,senior fellow Brookings,Distrustful
 Page # 2 - Starting line # 10,if they can persuade us to leave that we will do so in a way that then facilitates their rapid takeover of the country and i don't want to play into that narrative,redacted,29/08/2021,Michael,Afghanistan_will_fall_without_US,Keep US forces,senior fellow Brookings,Distrustful
 Page # 2 - Starting line # 12,Taliban may have a few people willing to make peace but basically they're the bad guys and the Ghani government has a lot of corrupt officials who are not particularly adept at running their country but they are still trying to be the imperfect democratic rulers of a country that we've been trying to help get back on its feet ,redacted,29/08/2021,Michael,Afghan_government_is_corrupt,Keep US forces,senior fellow Brookings,Distrustful
 Page # 2 - Starting line # 15,we've been trying to help get back on its feet and that has invited this international presence through the conscious decision and will of itself and therefore relatively speaking that government and the civil society and political society around it they're the good guys and we shouldn't get confused about which side we're on in this negotiating process in fact at some point we may want to encourage the creation of a more neutral arbiter or U.N. mediator,redacted,29/08/2021,Michael,US_tries_to_help_but_not_neutral,Keep US forces,senior fellow Brookings,Firm
 Page # 2 - Starting line # 19,in fact at some point we may want to encourage the creation of a more neutral arbiter or U.N. mediator in this peace process that is now about perhaps to finally begin ,redacted,29/08/2021,Michael,need_UN_mediator,Keep US forces,senior fellow Brookings,Strategic
 Page # 2 - Starting line # 21,because i don't think the united states can or should play a truly neutral role i think that would misinterpret our stakes and our interests i would also say taking a broader perspective ,redacted,29/08/2021,Michael,US_tries_to_help_but_not_neutral,Keep US forces,senior fellow Brookings,Realistic
 Page # 2 - Starting line # 25,we have not gotten where we want to be and i would criticize the Afghan government including the government of president Karzai before Ghani and many others,redacted,29/08/2021,Michael,haven’t_reached_peace,Keep US forces,senior fellow Brookings,Frustrated
 Page # 2 - Starting line # 27,the united states made a lot of mistakes but i still would say we have not been attacked again from Afghan territory or in any plot originating on Afghan territory since 9 11 that by itself is at least a certain threshold of minimal accomplishment ,redacted,29/08/2021,Michael,despite_US_mistakes_no_attack_like_911,Keep US forces,senior fellow Brookings,Distrustful
 Page # 2 - Starting line # 30,it's a pretty important accomplishment that the united states has not again suffered that kind of attack we should not minimize the importance of that accomplishment nor should we minimize the fact that even though the Afghan people and the Afghan government society have made many mistakes along the way this is also a group of people that helped us win the cold war,redacted,29/08/2021,Michael,despite_US_mistakes_no_attack_like_911,Keep US forces,senior fellow Brookings,Firm
 Page # 2 - Starting line # 35,Afghans have been at war for 40 years twice that long going back to the coups and counter coups that led to the soviet invasion but then the Afghan mujahideen worked with the Americans Pakistanis Saudis Emiratis to essentially fight the soviet union and ultimately help us prevail against the soviets in the cold ,redacted,29/08/2021,Michael,Afghans_helped_win_coldwar,Keep US forces,senior fellow Brookings,Understanding
 Page # 3 - Starting line # 42,US military presence in the range of 5000 troops which is apparently where we're headed by the end of this year according to secretary of defense Esper who has spoken to this question in recent days that is a perfectly sustainable strain on the American military it is nothing like the force that was 20 times ,redacted,29/08/2021,Michael,US_military_presence_5k_troops,Keep US forces,senior fellow Brookings,Firm
 Page # 3 - Starting line # 2,100000 strong U.S. force we had in Afghanistan a decade ago when Americans were on the ground doing most of the fighting themselves our role today is more limited it's more technical it's more about advisory and training missions it's more about counterterrorism and i think we can and should sustain that if need be until we get an acceptable outcome in the peace process ,redacted,29/08/2021,Michael,US_military_presence_is_technical,Keep US forces,senior fellow Brookings,Firm
 Page # 3 - Starting line # 13,Taliban and the Afghan government that both see each other as illegitimate and fundamentally weak to get them to compromise on how to meld their security forces ,redacted,29/08/2021,Michael,Taliban_Afghan_not_ready_compromise,Keep US forces,senior fellow Brookings,Distrustful
 Page # 3 - Starting line # 15,divvy up cabinet positions how to handle education and sharia law and protection of minority rights and interaction with the international community,redacted,29/08/2021,Michael,points_for_negotiation,Keep US forces,senior fellow Brookings,Firm
 Page # 3 - Starting line # 16,"we're going to need some time for them to wrestle through those kinds of huge, huge issues and i don't think we should be in a hurry to be believe we can somehow front load this negotiation to conclude in the next one to two years so unless there's a flagrant violation or abuse of power by the Afghan government i think we should settle in with roughly five thousand U.S. troops throughout much if not all of the next presidential term in the united states and give this peace process the time it needs to have a chance",redacted,29/08/2021,Michael,patience_remainig_present,Keep US forces,senior fellow Brookings,Cautious
 Page # 3 - Starting line # 19,government i think we should settle in with roughly five thousand U.S. troops throughout much if not all of the next presidential term in the united states and give this peace process the time it needs to have a chance,redacted,29/08/2021,Michael,US_military_presence_5k_troops,Keep US forces,senior fellow Brookings,Firm
 Page # 3 - Starting line # 28,U.S. policymakers need to accept several fundamental facts and proceed on this basis,redacted,29/08/2021,Laurel,facts_for_decision-making,Prepare to leave,"Director, International Crisis Institute",Critical
 Page # 3 - Starting line # 29,first one is the us did not defeat the Taliban and is not going to i ,redacted,29/08/2021,Laurel,US_did_not_defeat_Taliban,Prepare to leave,"Director, International Crisis Institute",Realistic
 Page # 3 - Starting line # 30,studying Afghanistan that might seem to go without saying but more broadly i don't think that that reality has been fully internalized ,redacted,29/08/2021,Laurel,missconception_about_defeating,Prepare to leave,"Director, International Crisis Institute",Firm
 Page # 3 - Starting line # 31,U.S. has not been able as long-standing prior policy aimed to do to ensure the construction of an Afghan government in Kabul that could defeat the Taliban on its own ,redacted,29/08/2021,Laurel,US_failed_to_ensure_Afghan_self-sustainable_government,Prepare to leave,"Director, International Crisis Institute",Cautious
